id,prediction
1,"Gamma-Aegis-01(GE1/0/0)->Gamma-Portal-01(GE1/0/4)
Gamma-Aegis-01(GE1/0/1)->Gamma-Portal-02(GE1/0/4)
Gamma-Aegis-01(GE1/0/2)->Gamma-Aegis-02(GE1/0/2)"
3,"Beta-Aegis-02(GE1/0/0)->Beta-Portal-01(GE1/0/5)
Beta-Aegis-02(GE1/0/1)->Beta-Portal-02(GE1/0/5)
Beta-Aegis-02(GE1/0/2)->Beta-Aegis-01(GE1/0/2)"
4,"Beta-Portal-02(GE1/0/1)->Alpha-Center-01(GE1/0/1)
Beta-Portal-02(GE1/0/2)->Alpha-Center-02(GE1/0/2)
Beta-Portal-02(GE1/0/3)->Alpha-Center-03(GE1/0/3)
Beta-Portal-02(GE1/0/4)->Alpha-Center-04(GE1/0/4)
Beta-Portal-02(GE1/0/5)->Alpha-Center-05(GE1/0/5)
Beta-Portal-02(GE1/0/6)->Alpha-Center-06(GE1/0/6)
Beta-Portal-02(GE1/0/7)->Alpha-Center-07(GE1/0/7)"
5,"Delta-Node-01(GE1/0/1)->Delta-Axis-01(GE1/0/1)
Delta-Node-01(GE1/0/2)->Delta-Axis-02(GE1/0/1)
Delta-Node-01(GE1/0/3)->Delta-Node-02(GE1/0/3)"
6,
29,
30,
31,
32,
33,
