id,prediction
17,Beta-Axis-02;GE1/0/0;shutdown
18,Beta-Node-01;GE1/0/2;interface IP error
19,Beta-Node-01;192.168.70.22;missing static route
20,Beta-Node-01;192.168.74.13;missing static route
21,"Beta-Node-01;GE1/0/0;shutdown
Beta-Node-01;GE1/0/5;shutdown
Beta-Node-01;GE1/0/6;shutdown
Beta-Node-01;GE1/0/7;shutdown
Beta-Node-01;GE1/0/8;shutdown
Beta-Node-01;GE1/0/9;shutdown
Beta-Node-01;GE1/1/0;shutdown
Beta-Node-01;GE1/1/1;shutdown
Beta-Node-01;GE1/1/2;shutdown
Beta-Node-01;GE1/1/3;shutdown
Beta-Node-01;GE1/1/4;shutdown
Beta-Node-01;GE1/1/5;shutdown
Beta-Node-01;GE1/1/6;shutdown
Beta-Node-01;GE1/1/7;shutdown
Beta-Node-01;GE1/1/8;shutdown
Beta-Node-01;GE1/1/9;shutdown
Beta-Node-01;GE2/0/0;shutdown
Beta-Node-01;GE2/0/1;shutdown
Beta-Node-01;GE2/0/2;shutdown
Beta-Node-01;GE2/0/3;shutdown
Beta-Node-01;GE2/0/4;shutdown
Beta-Node-01;GE2/0/5;shutdown
Beta-Node-01;GE2/0/6;shutdown
Beta-Node-01;GE2/0/7;shutdown
Beta-Node-01;GE2/0/8;shutdown
Beta-Node-01;GE2/0/9;shutdown
Beta-Node-01;GE2/1/0;shutdown
Beta-Node-01;GE2/1/1;shutdown
Beta-Node-01;GE2/1/2;shutdown
Beta-Node-01;GE2/1/3;shutdown
Beta-Node-01;GE2/1/4;shutdown
Beta-Node-01;GE2/1/5;shutdown
Beta-Node-01;GE2/1/6;shutdown
Beta-Node-01;GE2/1/7;shutdown
Beta-Node-01;GE2/1/8;shutdown
Beta-Node-01;GE2/1/9;shutdown"
22,Beta-Node-02;192.168.70.22;static route error
23,Delta-Node-01;192.168.74.61;static route error
24,Beta-Aegis-01;192.168.72.78;ARP configuration error
25,Beta-Node-01;192.168.70.70;static route error
26,"Gamma-Node-01;GE1/0/6;shutdown
Gamma-Node-01;192.168.74.45;missing static route"
27,Beta-Node-02;192.168.70.22;missing static route
28,Beta-Node-01;192.168.70.93;static route error
39,Hermes-Prime-01;20.1.1.10;missing static route
40,Demeter-Prime-01;10.1.6.3;missing static route
41,Demeter-Prime-01;10.1.6.3;missing static route
42,Demeter-Prime-02;GE1/0/5;MAC address configuration error
43,Hermes-Prime-01;20.1.1.10;missing static route
44,Hermes-Prime-02;10.60.1.2;missing static route
45,Hermes-Prime-01;10.60.1.2;missing static route
46,Demeter-Prime-01;20.1.1.10;missing static route
47,Hermes-Prime-02;20.1.1.20;missing static route
48,Demeter-Prime-01;20.1.1.20;missing static route
49,Demeter-Prime-01;20.1.4.10;missing static route
50,Hermes-Prime-01;10.1.1.20;ARP configuration error
