scenario_id,prediction
e5930631-de96-4c81-bd7a-e1bbaaa9bede,C14
a94886e5-732b-4786-9a3d-a0730a1aa23d,C2
db60dc66-0cf4-4294-a2a5-9561ac03d18a,C20
261da544-08ac-48da-80f0-d3f9ada44f29,C1
074d8dcd-dca7-4102-babd-4b0ba4c5813d,C15
08a2494c-2a8e-46ea-9817-9429ef801f8a,C1|C2|C18
be9afd70-1eb5-409e-b5de-bde1ec49b3c4,C7
1a103abd-72cf-4f63-8a7d-c687da867d42,C8
6101be3f-9fa1-4827-a946-4f0947448bab,C3
fb4d6986-5f5b-4ff4-8642-08d5ec531524,C13
5e215d49-b429-4c62-a937-4f9322f1673d,C11
9fe58e8a-2f92-443c-8999-ec304588f46d,C17
0ff664c2-3c3d-4945-89f9-3c9201d18f2d,C4
9158917d-3486-4916-8121-1b5a7fc48217,C7
84112bf4-76b6-4d3c-bbba-54ae026d0b51,C14
256b3278-3058-4017-8fe9-524e795a347f,C14
dd382472-1c6c-4044-aa03-2fddddbb38c5,C7
709f4a68-1ea9-4816-8b49-3fe58ba7e4c8,C14
c1b8381c-6850-423c-921d-f2f3938a87aa,C17
59be7f74-123a-4f3a-b9fe-bbb9c77b7861,C20
73a957d1-fa8b-43d6-9828-e7c145346e87,C19
08982883-e4e6-427c-8e83-5239ce67a804,C14
0d99d2b4-8344-491a-8ffc-5cf63b7d9c9e,C18
