id,scenario_id,prediction,baseline_answer,confidence,type
1,535afb0d-fa81-419b-9bcc-b456d032df5d,Gamma-Aegis-01(GE1/0/0)->Gamma-Portal-01(GE1/0/4)\nGamma-Aegis-01(GE1/0/1)->Gamma-Portal-02(GE1/0/4)\nGamma-Aegis-01(GE1/0/2)->Gamma-Aegis-02(GE1/0/2),Gamma-Aegis-01(GE1/0/0)->Gamma-Portal-01(GE1/0/4)\nGamma-Aegis-01(GE1/0/1)->Gamma-Portal-02(GE1/0/4)\nGamma-Aegis-01(GE1/0/2)->Gamma-Aegis-02(GE1/0/2),HIGH,TOPO
2,8ec59f8b-1a5a-4fb3-80ad-f0e2aaf6a499,Gamma-Axis-02(GE1/0/1)->Gamma-Node-01(GE1/0/2)\nGamma-Axis-02(GE1/0/2)->Gamma-Node-02(GE1/0/2)\nGamma-Axis-02(GE1/0/3)->Gamma-Node-03(GE1/0/2)\nGamma-Axis-02(GE1/0/4)->Gamma-Node-04(GE1/0/2)\nGamma-Axis-02(GE1/0/5)->Gamma-Portal-01(GE1/0/2)\nGamma-Axis-02(GE1/0/6)->Gamma-Portal-02(GE1/0/2),Gamma-Axis-02(GE1/0/1)->Gamma-Node-01(GE1/0/2)\nGamma-Axis-02(GE1/0/2)->Gamma-Node-02(GE1/0/2)\nGamma-Axis-02(GE1/0/3)->Gamma-Node-03(GE1/0/2)\nGamma-Axis-02(GE1/0/4)->Gamma-Node-04(GE1/0/2)\nGamma-Axis-02(GE1/0/5)->Gamma-Portal-01(GE1/0/2)\nGamma-Axis-02(GE1/0/6)->Gamma-Portal-02(GE1/0/2),HIGH,TOPO
3,e4e23bbb-78c1-47f0-897b-e227ba8914d4,Beta-Aegis-02(GE1/0/0)->Beta-Portal-01(GE1/0/5)\nBeta-Aegis-02(GE1/0/1)->Beta-Portal-02(GE1/0/5)\nBeta-Aegis-02(GE1/0/2)->Beta-Aegis-01(GE1/0/2),Beta-Aegis-02(GE1/0/0)->Beta-Portal-01(GE1/0/5)\nBeta-Aegis-02(GE1/0/1)->Beta-Portal-02(GE1/0/5)\nBeta-Aegis-02(GE1/0/2)->Beta-Aegis-01(GE1/0/2),HIGH,TOPO
4,c2effbaf-f3ce-4101-8f4b-e4412ba27e2c,Beta-Portal-02(GE1/0/1)->Beta-Axis-01(GE1/0/6)\nBeta-Portal-02(GE1/0/2)->Beta-Axis-02(GE1/0/6)\nBeta-Portal-02(GE1/0/3)->Beta-Portal-01(GE1/0/3)\nBeta-Portal-02(GE1/0/4)->Beta-Aegis-01(GE1/0/1)\nBeta-Portal-02(GE1/0/5)->Beta-Aegis-02(GE1/0/1)\nBeta-Portal-02(GE1/0/6)->Alpha-Center-01(GE1/0/2)\nBeta-Portal-02(GE1/0/7)->Alpha-Center-02(GE1/0/2),Beta-Portal-02(GE1/0/1)->Beta-Axis-01(GE1/0/6)\nBeta-Portal-02(GE1/0/2)->Beta-Axis-02(GE1/0/6)\nBeta-Portal-02(GE1/0/3)->Beta-Portal-01(GE1/0/3)\nBeta-Portal-02(GE1/0/4)->Beta-Aegis-01(GE1/0/1)\nBeta-Portal-02(GE1/0/5)->Beta-Aegis-02(GE1/0/1)\nBeta-Portal-02(GE1/0/6)->Alpha-Center-01(GE1/0/2)\nBeta-Portal-02(GE1/0/7)->Alpha-Center-02(GE1/0/2),HIGH,TOPO
5,50bb98fe-22f7-4f09-935d-8d53dc2f10f0,Delta-Node-01(GE1/0/1)->Delta-Axis-01(GE1/0/1)\nDelta-Node-01(GE1/0/2)->Delta-Axis-02(GE1/0/1)\nDelta-Node-01(GE1/0/3)->Delta-Node-02(GE1/0/3),Delta-Node-01(GE1/0/1)->Delta-Axis-01(GE1/0/1)\nDelta-Node-01(GE1/0/2)->Delta-Axis-02(GE1/0/1)\nDelta-Node-01(GE1/0/3)->Delta-Node-02(GE1/0/3),HIGH,TOPO
6,a4a771dd-bf78-485d-bc8a-6c69e966c4df,Delta-Axis-01(GE1/0/1)->Delta-Node-01(GE1/0/1)\nDelta-Axis-01(GE1/0/2)->Delta-Node-02(GE1/0/1)\nDelta-Axis-01(GE1/0/3)->Delta-Node-03(GE1/0/1)\nDelta-Axis-01(GE1/0/4)->Delta-Node-04(GE1/0/1)\nDelta-Axis-01(GE1/0/5)->Delta-Portal-01(GE1/0/1)\nDelta-Axis-01(GE1/0/6)->Delta-Portal-02(GE1/0/1),Delta-Axis-01(GE1/0/1)->Delta-Node-01(GE1/0/1)\nDelta-Axis-01(GE1/0/2)->Delta-Node-02(GE1/0/1)\nDelta-Axis-01(GE1/0/3)->Delta-Node-03(GE1/0/1)\nDelta-Axis-01(GE1/0/4)->Delta-Node-04(GE1/0/1)\nDelta-Axis-01(GE1/0/5)->Delta-Portal-01(GE1/0/1)\nDelta-Axis-01(GE1/0/6)->Delta-Portal-02(GE1/0/1),HIGH,TOPO
7,fff16260-f768-4485-ac9c-e3d3c09a9739,Beta-Node-01->Beta-Axis-02->Beta-Portal-02->Alpha-Center-02->Gamma-Portal-02->Gamma-Axis-02->Gamma-Node-01,Beta-Node-01->Beta-Axis-02->Beta-Portal-02->Alpha-Center-02->Gamma-Portal-02->Gamma-Axis-02->Gamma-Node-01,HIGH,PATH
8,a4f0237a-3a3f-48c1-be1f-162ce15ec9cb,Gamma-Node-01->Gamma-Axis-02->Gamma-Portal-02->Alpha-Center-02->Delta-Portal-02->Delta-Axis-02->Delta-Node-01,Gamma-Node-01->Gamma-Axis-02->Gamma-Portal-02->Alpha-Center-02->Delta-Portal-02->Delta-Axis-02->Delta-Node-01,HIGH,PATH
9,71073070-77e8-43d3-819c-f403c38e0caf,Beta-Node-03->Beta-Axis-02->Beta-Portal-02->Alpha-Center-02->Delta-Portal-02->Delta-Axis-02->Delta-Node-03,Beta-Node-03->Beta-Axis-02->Beta-Portal-02->Alpha-Center-02->Delta-Portal-02->Delta-Axis-02->Delta-Node-03,HIGH,PATH
10,634b9b95-9fe6-4e6d-a00f-536af1b9ee6e,Gamma-Node-01->Gamma-Axis-02->Gamma-Portal-02->Alpha-Center-02->Beta-Portal-02->Beta-Axis-02->Beta-Node-04,Gamma-Node-01->Gamma-Axis-02->Gamma-Portal-02->Alpha-Center-02->Beta-Portal-02->Beta-Axis-02->Beta-Node-04,HIGH,PATH
