scenario_id,prediction
8a3f83cc-e689-4fef-b41c-8d453e51a191,C12
57e9e338-fbbc-496d-b2aa-a466df5c99f8,C19
22b185a7-d5d6-411b-86b5-4cae5a7cd1ff,C15
3e0a4e06-7c4c-4d62-b133-5f1950c508a5,C11
75d95403-52d8-46a0-b1bb-6e5f6f25dc5b,C1
e7fec92b-76d2-4733-98d7-fd2a7616d1f0,C16
ee57f213-477b-4e0a-9663-6fb4f69e921e,C2|C10
f457bbd4-7a7a-4deb-b21d-4c0f469d97bc,C18
e49b192e-13df-4220-865c-cdfd37054473,C9
f83c3a67-1086-4156-a6ae-6f970c4e1849,C10
38447098-245d-45c3-8dc2-1be1207deac7,C14
87f2ea40-2bc5-463d-89a1-4b595641adfd,C1
9a924492-dc1f-467f-b815-b82be0bfef98,C5
375b6cf0-1d6d-46c0-8a81-ef9bf11ce9d6,C8
61d117ca-f7d6-4bb4-941a-99d9394012dd,C11|C21
30773ba2-5573-4f07-96ee-9d00c33f3c44,C11
81e4c4d8-23e0-42ab-a9ab-160e44205757,C1
c96e627c-7062-4b38-a668-1b54b3d956b2,C14
f2269270-7706-4777-86fe-19638fb8036b,C5|C7|C20
f95c5233-bd9c-4305-8bd4-5385158c436e,C3|C4|C7
